state,votes,electoral_vote
Delaware,492635,0
Indiana,3015790,0
Missouri,2995509,0
Montana,592994,0
New Hampshire,782027,0
North Carolina,5453247,0
North Dakota,339980,0
Utah,1364550,0
Vermont,362628,0
Washington,3984727,0
West Virginia,773078,0
